parenth,postfix
(xo(xo(xo(xo(xox))))),xxxxxxooooo
(xo(xo(xo((xox)ox)))),xxxxxoxoooo
(xo(xo((xox)o(xox)))),xxxxoxxoooo
(xo(xo((xo(xox))ox))),xxxxxooxooo
(xo(xo(((xox)ox)ox))),xxxxoxoxooo
(xo((xox)o(xo(xox)))),xxxoxxxoooo
(xo((xox)o((xox)ox))),xxxoxxoxooo
(xo((xo(xox))o(xox))),xxxxooxxooo
(xo(((xox)ox)o(xox))),xxxoxoxxooo
(xo((xo(xo(xox)))ox)),xxxxxoooxoo
(xo((xo((xox)ox))ox)),xxxxoxooxoo
(xo(((xox)o(xox))ox)),xxxoxxooxoo
(xo(((xo(xox))ox)ox)),xxxxooxoxoo
(xo((((xox)ox)ox)ox)),xxxoxoxoxoo
((xox)o(xo(xo(xox)))),xxoxxxxoooo
((xox)o(xo((xox)ox))),xxoxxxoxooo
((xox)o((xox)o(xox))),xxoxxoxxooo
((xox)o((xo(xox))ox)),xxoxxxooxoo
((xox)o(((xox)ox)ox)),xxoxxoxoxoo
((xo(xox))o(xo(xox))),xxxooxxxooo
((xo(xox))o((xox)ox)),xxxooxxoxoo
(((xox)ox)o(xo(xox))),xxoxoxxxooo
(((xox)ox)o((xox)ox)),xxoxoxxoxoo
((xo(xo(xox)))o(xox)),xxxxoooxxoo
((xo((xox)ox))o(xox)),xxxoxooxxoo
(((xox)o(xox))o(xox)),xxoxxooxxoo
(((xo(xox))ox)o(xox)),xxxooxoxxoo
((((xox)ox)ox)o(xox)),xxoxoxoxxoo
((xo(xo(xo(xox))))ox),xxxxxooooxo
((xo(xo((xox)ox)))ox),xxxxoxoooxo
((xo((xox)o(xox)))ox),xxxoxxoooxo
((xo((xo(xox))ox))ox),xxxxooxooxo
((xo(((xox)ox)ox))ox),xxxoxoxooxo
(((xox)o(xo(xox)))ox),xxoxxxoooxo
(((xox)o((xox)ox))ox),xxoxxoxooxo
(((xo(xox))o(xox))ox),xxxooxxooxo
((((xox)ox)o(xox))ox),xxoxoxxooxo
(((xo(xo(xox)))ox)ox),xxxxoooxoxo
(((xo((xox)ox))ox)ox),xxxoxooxoxo
((((xox)o(xox))ox)ox),xxoxxooxoxo
((((xo(xox))ox)ox)ox),xxxooxoxoxo
(((((xox)ox)ox)ox)ox),xxoxoxoxoxo
